bgg_id,name,description,image,thumbnail,bgg_link,avg_rating,bgg_rating,users_rated,game_weight,players_min,players_max,players_best,time_min,time_max,time_avg,game_mechanics,game_categories,game_types,year_published
174430,Gloomhaven,gloomhaven   game euroinspired tactical combat persistent world shift motive player role wander adventurer special set skill reason travel dark corner world player work necessity clear menacing dungeon forget ruin process enhance ability experience loot discover new location explore plunder expand everbranching story fuel decision makethis game persistent change world ideally play game session scenario player decision determine story continue kind like ldquochoose adventurerdquo book play scenario cooperative affair player fight automate monster innovative card system determine order play player turneach turn player choose card play hand number card determine initiative round card power playerrsquo turn initiative order determine use power card power viceversa player careful time permanently lose card hand long clear dungeon end exhausted force retreat,https://cf.geekdo-images.com/sZYp_3BTDGjh2unaZfZmuA__original/img/7d-lj5Gd1e8PFnD97LYFah2c45M=/0x0/filters:format(jpeg)/pic2437871.jpg,https://cf.geekdo-images.com/sZYp_3BTDGjh2unaZfZmuA__small/img/veqFeP4d_3zNhFc3GNBkV95rBEQ=/fit-in/200x150/filters:strip_icc()/pic2437871.jpg,https://boardgamegeek.com/boardgame/174430,8.74997,8.51488,47151,3.8699,1,4,2.88,60,120,120,Action Queue; Action Retrieval; Campaign / Battle Card Driven; Card Play Conflict Resolution; Communication Limits; Cooperative Game; Critical Hits and Failures; Deck Construction; Grid Movement; Hand Management; Hexagon Grid; Legacy Game; Line of Sight; Modular Board; Multi-Use Cards; Narrative Choice / Paragraph; Once-Per-Game Abilities; Role Playing; Scenario / Mission / Campaign Game; Simultaneous Action Selection; Solo / Solitaire Game; Storytelling; Tags; Variable Player Powers,Adventure; Exploration; Fantasy; Fighting; Miniatures,Thematic; Strategy Game,2017
161936,Pandemic Legacy: Season 1,pandemic legacy cooperative campaign game overarch storyarc play   session depend group game beginning game start similar basic pandemic team diseasefighte specialist race clock travel world treat disease hotspot research cure plague handdure player turn action available travel world way need discard card build structure like research station treat disease remove cube board cube color remove disease eradicate trade card player find cure disease require card color discard research station player unique role special ability help actionsafter player take action draw card card include epidemic card place new disease cube board lead outbreak spread disease cube outbreak additionally increase panic level city make city expensive travel toeach month game chance achieve month objective succeed win immediately month fail second chance funding beneficial event cardsdure campaign new rule component introduce require permanently alter component game include write card rip card place permanent sticker component character gain new skill detrimental effect character lose entirely point long available playpart pandemic series,https://cf.geekdo-images.com/-Qer2BBPG7qGGDu6KcVDIw__original/img/PlzAH7swN1nsFxOXbfUvE3TkE5w=/0x0/filters:format(png)/pic2452831.png,https://cf.geekdo-images.com/-Qer2BBPG7qGGDu6KcVDIw__small/img/NQQcjS31TO0DE246N9rpt0hd9eo=/fit-in/200x150/filters:strip_icc()/pic2452831.png,https://boardgamegeek.com/boardgame/161936,8.59678,8.44451,44614,2.8336,2,4,3.34,60,60,60,Action Points; Cooperative Game; Hand Management; Legacy Game; Multi-Use Cards; Point to Point Movement; Scenario / Mission / Campaign Game; Set Collection; Tags; Trading; Variable Player Powers,Environmental; Medical,Thematic; Strategy Game,2015
224517,Brass: Birmingham,brass birmingham economic strategy game sequel martin wallace   masterpiece brass brass birmingham tell story compete entrepreneur birmingham industrial revolution year predecessor develop build establish industry network effort exploit low high market demandseach round player turn accord turn order track receive action perform follow action find original game build   pay require resource place industry tile network   add rail   canal link expand network develop   increase vp value industry sell   sell cotton manufacture good pottery loan   pound loan reduce incomebrass birmingham feature new sixth action scout   discard card wild location wild industry card action replace double action build original brassthe game play half canal era year   rail era year   win game score vps vps count end half canal rail establish flip industry tilesbirmingham feature dynamic scoring canalsrail instead flip industry tile give static   vp connected canal rail industry     vps provide player opportunity score high value canal era create interesting strategy industry placementiron coal cotton industry appear original brass brass birminghamnew quotsellquot systembrewing fundamental culture birmingham sell product trader locate edge board trader look specific type good game sell cotton pottery manufacture good trader quotgrease wheel industryquot consume beer example level   cotton mill require beer flip incentive sell early player sell trader receive free beerbirmingham feature allnew industry typesbrewery   produce precious beer barrel require sell goodsmanufacture good   function like cotton feature level level manufacture good provide unique reward escalate vps make versatile potentially difficult path vs cottonpottery   behemoth birmingham offer huge vps huge cost need planincreased coal iron market size   price coal iron pound cube uncommonbrass birmingham sequel brass offer different story arc experience predecessor,https://cf.geekdo-images.com/x3zxjr-Vw5iU4yDPg70Jgw__original/img/FpyxH41Y6_ROoePAilPNEhXnzO8=/0x0/filters:format(jpeg)/pic3490053.jpg,https://cf.geekdo-images.com/x3zxjr-Vw5iU4yDPg70Jgw__small/img/o18rjEemoWaVru9Y2TyPwuIaRfE=/fit-in/200x150/filters:strip_icc()/pic3490053.jpg,https://boardgamegeek.com/boardgame/224517,8.66562,8.41573,24849,3.9058,2,4,3.38,60,120,120,Chaining; End Game Bonuses; Hand Management; Income; Loans; Market; Multi-Use Cards; Network and Route Building; Ownership; Tags; Tech Trees / Tech Tracks; Tile Placement; Turn Order: Stat-Based; Variable Set-up,Age of Reason; Economic; Industry / Manufacturing; Post-Napoleonic; Trains; Transportation,Strategy Game,2018
167791,Terraforming Mars,s mankind begin terraform planet mar giant corporation sponsor world government earth initiate huge project raise temperature oxygen level ocean coverage environment habitable terraforme mar play corporation work terraforming process compete get victory point award contribution terraforming advance human infrastructure solar system commendable thingsthe player acquire unique project card different one buy hand project card represent introduce plant life animal hurl asteroid surface build city mine moon jupiter establish greenhouse gas industry heat atmosphere card immediate bonus increase production different resource card requirement playable temperature oxygen ocean coverage increase buying card costly balance buying card   megacredit card actually play cost     megacredit depend project standard project available complement cardsyour basic income basic score base terraform rating start   increase time raise global parameter income complement production vps sourceseach player keep track production resource player board game use type resource megacredit steel titanium plant energy heat game board compete good place city tile ocean tile greenery tile compete different milestone award worth vps round call generation guess consist follow phase player order shift clockwise research phase player buy card privately draw action phase player turn   action option play card claim milestone fund award standard project convert plant greenery tile raise oxygen convert heat temperature raise action card play turn continue table lap player pass production phase player resource accord terraform rating production parameterswhen global parameter temperature oxygen ocean reach goal terraforming complete game end generation count terraform rating vps determine win corporation,https://cf.geekdo-images.com/wg9oOLcsKvDesSUdZQ4rxw__original/img/thIqWDnH9utKuoKVEUqveDixprI=/0x0/filters:format(jpeg)/pic3536616.jpg,https://cf.geekdo-images.com/wg9oOLcsKvDesSUdZQ4rxw__small/img/BTxqxgYay5tHJfVoJ2NF5g43_gA=/fit-in/200x150/filters:strip_icc()/pic3536616.jpg,https://boardgamegeek.com/boardgame/167791,8.41879,8.27421,73093,3.2441,1,5,3.02,120,120,120,Closed Drafting; Contracts; End Game Bonuses; Hand Management; Hexagon Grid; Income; Solo / Solitaire Game; Tags; Take That; Tile Placement; Turn Order: Progressive; Variable Player Powers; Variable Set-up,Science Fiction; Space Exploration,Strategy Game,2016
233078,Twilight Imperium: Fourth Edition,twilight imperium fourth edition game galactic conquest player role seventeen faction vie galactic domination military political maneuvering economic bargaining faction offer completely different play experience wormholehoppe ghost creuss emirate hacan master trade economic seventeen race offer path victory sit throne mecatol rex new master galaxyno game twilight imperium identical start galactic age game board uniquely strategically construct   galaxy tile feature lush new planet supernovas asteroid field gravity rift player deal hand tile turn create galaxy mecatol rex capital planet seat center board ion storm block race progress galaxy fortuitously place gravity rift protect close foe galaxy craft dominatea round twilight imperium begin player select strategy card determine player order owner unique strategic action round provide additional command token allow player control trade galaxy role select player turn move fleet system system claim new planet empire engage warfare trade faction end turn player gather grand council pass new law agenda shake game unpredictable waysafter player pass turn player victory track check complete objective turn score objective determine set public objective card start game gradually reveal round player choose random secret objective start game provide victory point achievable holder objective objective research new technology take neighbor home system end turn player claim public objective secret objective play continue objective reveal secret objective deal give player dynamically change goal game play continue player reach victory pointsmdashdescription publisher,https://cf.geekdo-images.com/_Ppn5lssO5OaildSE-FgFA__original/img/kVpZ0Maa_LeQGWxOqsYKP3N4KUY=/0x0/filters:format(jpeg)/pic3727516.jpg,https://cf.geekdo-images.com/_Ppn5lssO5OaildSE-FgFA__small/img/lfEukJE0JsoZZObaF9K9YnFp62E=/fit-in/200x150/filters:strip_icc()/pic3727516.jpg,https://boardgamegeek.com/boardgame/233078,8.67916,8.25955,15736,4.2497,3,6,5.3,240,480,480,Action Drafting; Area-Impulse; Dice Rolling; Follow; Grid Movement; Hexagon Grid; Increase Value of Unchosen Resources; King of the Hill; Modular Board; Movement Points; Race; Tech Trees / Tech Tracks; Trading; Variable Phase Order; Variable Player Powers; Variable Set-up; Voting,Civilization; Economic; Exploration; Negotiation; Political; Science Fiction; Space Exploration; Territory Building; Wargame,Thematic; Strategy Game,2017
291457,Gloomhaven: Jaws of the Lion,gloomhaven jaw lion standalone game take place event gloomhaven game include new character mdash valrath red guard tank crowd control inox hatchet range damage human voidwarden support mindcontrol quatryl demolitionist melee damage obstacle manipulation mdash original gloomhaven gamethe game include   monster type include seven new standard monster new boss new campaign   scenario invite hero investigate case mysterious disappearance city work vermling far sinister go ongloomhaven jaw lion aim casual audience people gameplay quickly hardtoorganize cardboard map tile remove instead player play scenario book feature new artwork unique scenario barrier entry mdash ie learn game mdash lower simplified rule set fivescenario tutorial ease new player experience,https://cf.geekdo-images.com/_HhIdavYW-hid20Iq3hhmg__original/img/PBzsLRqNKQKJxGnzpb7o3qLWPQM=/0x0/filters:format(jpeg)/pic5055631.jpg,https://cf.geekdo-images.com/_HhIdavYW-hid20Iq3hhmg__small/img/OMkN_E5eyWrkID_cHCnQEbIixGM=/fit-in/200x150/filters:strip_icc()/pic5055631.jpg,https://boardgamegeek.com/boardgame/291457,8.6961,8.25163,15062,3.5779,1,4,2.53,30,120,120,Action Queue; Action Retrieval; Campaign / Battle Card Driven; Communication Limits; Cooperative Game; Critical Hits and Failures; Deck Construction; Grid Movement; Hand Management; Hexagon Grid; Legacy Game; Line of Sight; Multi-Use Cards; Once-Per-Game Abilities; Player Elimination; Role Playing; Scenario / Mission / Campaign Game; Simultaneous Action Selection; Solo / Solitaire Game; Variable Player Powers,Adventure; Exploration; Fantasy; Fighting; Miniatures,Thematic; Strategy Game,2020
220308,Gaia Project,gaia project new game line terra mystica original terra mystica fourteen different faction live seven different kind planet faction bind home planet develop grow terraform neighboring planet home environment competition group addition gaia planet faction colonization transdimensional planet change gaia planetsall faction improve skill different area development mdash terraforme navigation artificial intelligence gaiaforme economy research mdash lead advanced technology special bonus group special skill abilitiesthe playing area sector allow variable setup big replay value predecessor terra mystica twoplayer game host seven sectorsmdashdescription publisher,https://cf.geekdo-images.com/hGWFm3hbMlCDsfCsauOQ4g__original/img/tjlflQtUPFiTpLpwk1NCVCS29Ic=/0x0/filters:format(png)/pic5375625.png,https://cf.geekdo-images.com/hGWFm3hbMlCDsfCsauOQ4g__small/img/NNG7Ijyx4evp5gcVReis9i0koas=/fit-in/200x150/filters:strip_icc()/pic5375625.png,https://boardgamegeek.com/boardgame/220308,8.47909,8.17758,18791,4.3617,1,4,3.08,60,150,150,End Game Bonuses; Hexagon Grid; Income; Modular Board; Network and Route Building; Solo / Solitaire Game; Tags; Tech Trees / Tech Tracks; Turn Order: Pass Order; Variable Player Powers; Variable Set-up; Victory Points as a Resource,Civilization; Economic; Science Fiction; Space Exploration; Territory Building,Strategy Game,2017
187645,Star Wars: Rebellion,star war rebellion board game epic conflict galactic empire rebel alliance playersexperience galactic civil war like rebellion control entire galactic empire fledgling rebel alliance command starship account troop movement rally system cause give difference empire rebel alliance different win condition ll need adjust play style depend represent      imperial player command legion stormtrooper swarm tie star destroyer death star rule galaxy fear rely power massive military enforce win game need snuff bud rebel alliance find base obliterate way subjugate world destroy      rebel player command dozen trooper t airspeeder corellian corvette fighter squadron force match imperial military term raw strength ll find clearly overmatche outset ll need rally planet join cause execute target military strike sabotage imperial build yard steal valuable intelligence win galactic civil war ll need sway galaxys citizen cause survive long strengthen reputation inspire galaxy fullscale revolt winfeature   plastic miniature game board account thirtytwo star wars galaxys notable system rebellion feature scope large sweeping star war game ityet grandiosity rebellion remain intensely personal cinematic heroic success depend strength starship vehicle troop depend individual effort notable character leia organa mon mothma grand moff tarkin emperor palpatine civil war spread galaxy leader invaluable effort secret mission attempt evoke inspiring moment classic trilogy send luke skywalker receive jedi training dagobah darth vader spring trap freeze han solo carbonite,https://cf.geekdo-images.com/7SrPNGBKg9IIsP4UQpOi8g__original/img/GKueTbkCk2Ramf6ai8mDj-BP6cI=/0x0/filters:format(jpeg)/pic4325841.jpg,https://cf.geekdo-images.com/7SrPNGBKg9IIsP4UQpOi8g__small/img/gAxzddRVQiRdjZHYFUZ2xc5Jlbw=/fit-in/200x150/filters:strip_icc()/pic4325841.jpg,https://boardgamegeek.com/boardgame/187645,8.42432,8.17121,25270,3.7229,2,4,2.07,180,240,240,"Area Majority / Influence; Area Movement; Card Play Conflict Resolution; Contracts; Delayed Purchase; Dice Rolling; Die Icon Resolution; Events; Hand Management; Hidden Movement; Income; Once-Per-Game Abilities; Tags; Take That; Team-Based Game; Variable Player Powers; Variable Set-up; Worker Placement, Different Worker Types",Civil War; Movies / TV / Radio theme; Science Fiction; Space Exploration; Wargame,Thematic,2016
182028,Through the Ages: A New Story of Civilization,age new story civilization new edition age story civilization change small large game card age extensive change military worksthrough age civilization building game player attempt build good civilization careful resource management discover new technology elect right leader build wonder maintain strong military weakness area exploit opponent game take place age begin age antiquity end modern ageone primary mechanism tta card drafting technology wonder leader come play easy draft long play order use technology need science discover food create population man resource ore build building use balance resource need advance technology need build military military build way civilian building player weak military prey player map game lose territory player high military steal resource science kill leader population culture difficult win large military easy lose weak onevictory achieve player nation culture end modern age,https://cf.geekdo-images.com/fVwPntkJKgaEo0rIC0RwpA__original/img/1jawNpljTXwnT4km_2CjGwoUPR8=/0x0/filters:format(jpeg)/pic2663291.jpg,https://cf.geekdo-images.com/fVwPntkJKgaEo0rIC0RwpA__small/img/31usGlzlBReEFf60bcgbvDTjwCg=/fit-in/200x150/filters:strip_icc()/pic2663291.jpg,https://boardgamegeek.com/boardgame/182028,8.38861,8.15369,25341,4.4142,2,4,2.88,120,120,120,Action Points; Auction / Bidding; Auction: Dutch; Events; Income; Open Drafting; Player Elimination; Tags; Take That,Card Game; Civilization; Economic,Strategy Game,2015
115746,War of the Ring: Second Edition,war ring player take control free people fp player control shadow army sa initially free people nation reluctant arm sauron attack sauron persuade gandalf companion start fight properly represent political track show nation ready fight war ring notthe game win military victory sauron conquer certain number free people city stronghold vice versa true hope free people lie quest ringbearer army clash middle earth fellowship ring try secretly mount doom destroy ring sauron aware real intention enemy look middle earth precious ring fellowship go face numerous danger represent rule hunt ring companion spur free people fight sauron free people player balance need protect ringbearer harm attempt raise proper defense army shadow overrun middle earth ringbearer complete questeach game turn revolve roll action dice die correspond action player turn depend face roll die different action possible move army character recruit troop advance political trackaction dice draw play event card event card play represent specific event story event possibly happen portray normal gameplay event card create unexpected turn game allow special action alter course battle,https://cf.geekdo-images.com/ImPgGag98W6gpV1KV812aA__original/img/38jB7fN07DwlrGKYAf-J0vsNdgs=/0x0/filters:format(jpeg)/pic1215633.jpg,https://cf.geekdo-images.com/ImPgGag98W6gpV1KV812aA__small/img/X-lBBdG4uO6LT0y1vXxCN4jdR4M=/fit-in/200x150/filters:strip_icc()/pic1215633.jpg,https://boardgamegeek.com/boardgame/115746,8.50988,8.13104,15247,4.174,2,4,2.17,150,240,240,Area Majority / Influence; Area Movement; Campaign / Battle Card Driven; Card Play Conflict Resolution; Dice Rolling; Events; Hand Management; Movement Points; Team-Based Game; Variable Player Powers; Variable Set-up,Fantasy; Fighting; Novel-based; Territory Building; Wargame,War Game; Thematic,2012
